iter	Passed	Remaining
0	143	143671
1	144	72184
2	145	48277
3	145	36317
4	146	29143
5	147	24362
6	147	20948
7	148	18388
8	148	16401
9	149	14806
10	150	13501
11	150	12414
12	151	11492
13	151	10703
14	152	10019
15	153	9422
16	153	8894
17	154	8424
18	155	8005
19	155	7627
20	156	7291
21	157	6983
22	157	6701
23	158	6442
24	159	6205
25	159	5986
26	160	5781
27	161	5591
28	161	5415
29	162	5252
30	163	5099
31	163	4954
32	164	4820
33	165	4692
34	165	4573
35	166	4460
36	167	4352
37	167	4250
38	168	4153
39	169	4059
40	169	3971
41	170	3886
42	171	3806
43	171	3732
44	172	3658
45	172	3586
46	173	3519
47	174	3454
48	174	3392
49	175	3332
50	175	3274
51	176	3221
52	177	3168
53	177	3117
54	178	3068
55	179	3021
56	179	2976
57	180	2932
58	181	2889
59	181	2848
60	182	2808
61	183	2769
62	183	2731
63	184	2694
64	184	2660
65	185	2627
66	186	2594
67	186	2559
68	187	2529
69	188	2500
70	188	2472
71	189	2445
72	190	2417
73	191	2390
74	191	2365
75	192	2340
76	193	2315
77	193	2290
78	194	2267
79	195	2244
80	195	2220
81	196	2197
82	196	2174
83	197	2154
84	197	2131
85	198	2110
86	199	2088
87	199	2068
88	200	2048
89	200	2030
90	201	2011
91	202	1993
92	202	1977
93	203	1960
94	204	1944
95	204	1927
96	205	1910
97	205	1894
98	206	1878
99	207	1863
100	207	1850
101	208	1833
102	208	1818
103	209	1804
104	210	1790
105	210	1776
106	211	1763
107	211	1750
108	212	1737
109	213	1725
110	213	1713
111	214	1701
112	215	1689
113	215	1677
114	216	1665
115	216	1652
116	217	1640
117	218	1630
118	218	1618
119	219	1608
120	219	1597
121	220	1586
122	220	1573
123	221	1563
124	221	1553
125	222	1543
126	223	1534
127	223	1523
128	224	1513
129	224	1505
130	225	1496
131	226	1488
132	226	1479
133	227	1471
134	228	1464
135	229	1456
136	229	1448
137	230	1439
138	231	1431
139	231	1423
140	232	1416
141	233	1409
142	234	1402
143	234	1395
144	235	1387
145	235	1379
146	236	1372
147	237	1364
148	237	1357
149	238	1349
150	238	1343
151	239	1336
152	240	1330
153	240	1323
154	241	1316
155	242	1309
156	242	1302
157	243	1295
158	243	1290
159	244	1284
160	245	1279
161	246	1273
162	246	1267
163	247	1260
164	247	1254
165	248	1249
166	249	1243
167	249	1237
168	250	1232
169	251	1226
170	251	1220
171	252	1214
172	252	1208
173	253	1203
174	254	1198
175	254	1193
176	255	1187
177	256	1182
178	256	1176
179	257	1171
180	257	1164
181	258	1159
182	258	1154
183	259	1149
184	259	1144
185	260	1139
186	260	1134
187	261	1129
188	262	1124
189	262	1119
190	263	1115
191	263	1110
192	264	1105
193	265	1101
194	265	1096
195	266	1092
196	266	1087
197	267	1083
198	267	1078
199	268	1074
200	269	1069
201	269	1065
202	270	1061
203	270	1057
204	271	1052
205	272	1048
206	272	1044
207	273	1040
208	273	1036
209	274	1032
210	274	1028
211	275	1024
212	276	1020
213	276	1016
214	277	1012
215	277	1008
216	278	1004
217	278	1000
218	279	996
219	280	993
220	280	990
221	281	986
222	282	982
223	282	978
224	283	975
225	283	971
226	284	968
227	284	964
228	285	961
229	286	958
230	286	954
231	287	951
232	287	947
233	288	944
234	289	941
235	289	938
236	290	935
237	291	932
238	291	929
239	292	926
240	293	922
241	293	919
242	294	916
243	294	913
244	295	910
245	296	907
246	296	904
247	297	901
248	298	898
249	298	896
250	299	893
251	300	890
252	300	888
253	301	885
254	302	882
255	302	880
256	303	878
257	305	878
258	306	876
259	307	874
260	308	874
261	309	871
262	310	870
263	311	868
264	312	867
265	313	865
266	314	862
267	314	860
268	315	857
269	316	854
270	316	852
271	317	849
272	318	847
273	318	845
274	319	842
275	320	839
276	320	837
277	321	834
278	321	832
279	322	829
280	323	827
281	323	824
282	324	821
283	325	819
284	325	817
285	326	814
286	326	812
287	327	810
288	328	808
289	329	805
290	329	803
291	330	800
292	330	798
293	331	795
294	331	793
295	332	791
296	333	789
297	334	787
298	334	784
299	335	782
300	335	779
301	336	777
302	337	775
303	337	773
304	338	771
305	338	768
306	339	766
307	340	764
308	340	761
309	341	759
310	341	757
311	342	755
312	343	753
313	343	751
314	344	748
315	345	746
316	345	744
317	346	742
318	346	740
319	347	737
320	347	736
321	348	734
322	349	731
323	349	729
